seq_id	ormerod_family	genus
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella||AF385558.PreSpe39	Prevotellaceae	Prevotella
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella||AY244911.UncR2573	Prevotellaceae	Prevotella
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella||AF218619.PreRum26	Prevotellaceae	Prevotella
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella||AY244922.UncR2547	Prevotellaceae	Prevotella
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella||AY244933.UncR2584	Prevotellaceae	Prevotella
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella||AY244918.UncR2546	Prevotellaceae	Prevotella
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella||AY244896.UncR2568	Prevotellaceae	Prevotella
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella||AJ009933.PrevoAff	Prevotellaceae	Prevotella
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella||AY244893.UncR2559	Prevotellaceae	Prevotella
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella||AY244928.UncR2581	Prevotellaceae	Prevotella
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella||AY244924.UncR2531	Prevotellaceae	Prevotella
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella||AY244932.UncR2549	Prevotellaceae	Prevotella
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella||AY244945.UncR2535	Prevotellaceae	Prevotella
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella||AB034100.UncRu103	Prevotellaceae	Prevotella
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella||AY244915.UncR2529	Prevotellaceae	Prevotella
